name,link,color,total_games,eco,last_played,performance,avg_player,p_wins,p_draws,p_loses,moves
"Sicilian Defense, Najdorf Variation","https://old.chesstempo.com/gamedb/opening/2148","black",1228,"B98","20-02-2021","2040","2063",0.309,0.202,0.489,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ag5 e6 7.f4 Ae7"
"Sicilian Defense, Najdorf Variation","https://old.chesstempo.com/gamedb/opening/2146","black",3127,"B95","16-03-2021","2188","2181",0.44,0.205,0.355,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ag5 e6"
"Sicilian Defense, Najdorf Variation","https://old.chesstempo.com/gamedb/opening/2145","black",18643,"B90-99","27-03-2021","2183","2203",0.38,0.243,0.377,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6"
"Sicilian Defense, Najdorf Variation, Browne Variation","https://old.chesstempo.com/gamedb/opening/2152","black",628,"B98","20-01-2021","2201","2237",0.349,0.233,0.419,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ag5 e6 7.f4 Ae7 8.Df3 h6 9.Ah4 Dc7"
"Sicilian Defense, Najdorf Variation, English Attack, Anti-English","https://old.chesstempo.com/gamedb/opening/2154","black",2341,"B90","08-12-2020","2294","2331",0.287,0.347,0.366,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ae3 Cg4"
"Sicilian Defense, Najdorf Variation, Goteborg (Argentine)","https://old.chesstempo.com/gamedb/opening/2156","black",193,"B98","27-08-2020","2262","2269",0.301,0.316,0.383,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ag5 e6 7.f4 Ae7 8.Df3 h6 9.Ah4 g5"
"Sicilian Defense, Najdorf Variation, Main Line","https://old.chesstempo.com/gamedb/opening/2157","black",4109,"B99","12-02-2021","2154","2197",0.313,0.227,0.46,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ag5 e6 7.f4 Ae7 8.Df3 Dc7 9.O-O-O Cbd7"
"Sicilian Defense, Najdorf Variation, Neo-Classical Defense","https://old.chesstempo.com/gamedb/opening/2158","black",696,"B96","29-11-2019","2232","2261",0.326,0.3,0.374,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ag5 e6 7.f4 Cc6"
"Sicilian Defense, Najdorf Variation, Opocensky Variation, Modern Line","https://old.chesstempo.com/gamedb/opening/2160","black",1369,"B92","21-01-2021","2174","2197",0.344,0.286,0.37,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ae2 e5 7.Cb3 Ae7 8.O-O Ae6"
"Sicilian Defense, Najdorf Variation, Opocensky Variation, Traditional Line","https://old.chesstempo.com/gamedb/opening/2161","black",5313,"B92","05-03-2021","2315","2331",0.33,0.36,0.31,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ae2 e5 7.Cb3 Ae7 8.O-O O-O"
"Sicilian Defense, Najdorf Variation, Poisoned Pawn Variation","https://old.chesstempo.com/gamedb/opening/2163","black",2274,"B97","02-04-2021","2289","2316",0.339,0.301,0.36,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ag5 e6 7.f4 Db6"
"Sicilian Defense, Najdorf Variation, Poisoned Pawn, Accepted","https://old.chesstempo.com/gamedb/opening/2162","black",1346,"B97","16-03-2021","2319","2342",0.328,0.326,0.346,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ag5 e6 7.f4 Db6 8.Dd2 Dxb2 9.Tb1 Da3"
"Sicilian Defense, Najdorf Variation, Polugayevsky Variation","https://old.chesstempo.com/gamedb/opening/2164","black",608,"B96","13-02-2021","2269","2278",0.38,0.222,0.398,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ag5 e6 7.f4 b5"
"Sicilian Defense, Najdorf Variation, Scheveningen Variation","https://old.chesstempo.com/gamedb/opening/2166","black",475,"B84","09-01-2021","2273","2307",0.383,0.255,0.362,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 e6 6.Ae2 a6 7.O-O Cbd7"
"Sicilian Defense, Najdorf Variation, Traditional Line","https://old.chesstempo.com/gamedb/opening/2167","black",935,"B98","30-10-2020","2028","2080",0.299,0.196,0.505,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 a6 6.Ag5 e6 7.f4 Ae7 8.Df3 Dc7"
"Sicilian Defense, Nimzo-American Variation","https://old.chesstempo.com/gamedb/opening/2169","black",357,"B32","07-03-2020","2149","2151",0.314,0.314,0.373,"1.e4 c5 2.Cf3 Cc6 3.d4 cxd4 4.Cxd4 d5"
"Sicilian Defense, Nimzowitsch Variation, Exchange Variation","https://old.chesstempo.com/gamedb/opening/2172","black",528,"B29","13-03-2020","2282","2347",0.284,0.296,0.42,"1.e4 c5 2.Cf3 Cf6 3.e5 Cd5 4.Cc3 Cxc3"
"Sicilian Defense, Nimzowitsch Variation, Main Line","https://old.chesstempo.com/gamedb/opening/2173","black",538,"B29","12-10-2020","2258","2276",0.247,0.329,0.424,"1.e4 c5 2.Cf3 Cf6 3.e5 Cd5 4.Cc3 e6 5.Cxd5 exd5 6.d4 Cc6"
"Sicilian Defense, Nimzowitsch Variation, General","https://old.chesstempo.com/gamedb/opening/2174","black",260,"B29","09-03-2020","2193","2175",0.408,0.242,0.35,"1.e4 c5 2.Cf3 Cf6"
"Sicilian Defense, Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation","https://old.chesstempo.com/gamedb/opening/2176","black",17781,"B31","27-03-2021","2230","2263",0.266,0.318,0.416,"1.e4 c5 2.Cf3 Cc6 3.Ab5 g6"
"Sicilian Defense, O'Kelly Variation","https://old.chesstempo.com/gamedb/opening/2181","black",206,"B28","18-10-2020","1954","1994",0.515,0.165,0.32,"1.e4 c5 2.Cf3 a6"
"Sicilian Defense, O'Kelly Variation, Maroczy Bind, Geller Line","https://old.chesstempo.com/gamedb/opening/2185","black",257,"B28","27-03-2021","2158","2211",0.304,0.245,0.451,"1.e4 c5 2.Cf3 a6 3.c4 Cc6 4.d4 cxd4 5.Cxd4 e5"
"Sicilian Defense, O'Kelly Variation, Maroczy Bind, Paulsen Line","https://old.chesstempo.com/gamedb/opening/2186","black",1085,"B28","22-01-2021","2212","2242",0.377,0.284,0.339,"1.e4 c5 2.Cf3 a6 3.c4 e6"
"Sicilian Defense, O'Kelly Variation, Maroczy Bind, Robatsch Line","https://old.chesstempo.com/gamedb/opening/2187","black",598,"B28","12-12-2020","2142","2196",0.34,0.284,0.376,"1.e4 c5 2.Cf3 a6 3.c4 d6"
"Sicilian Defense, O'Kelly Variation, Normal System, Kan Line","https://old.chesstempo.com/gamedb/opening/2190","black",2329,"B28","28-03-2021","2076","2086",0.484,0.22,0.296,"1.e4 c5 2.Cf3 a6 3.d4 cxd4 4.Cxd4 e6"
"Sicilian Defense, O'Kelly Variation, Normal System, Taimanov Line","https://old.chesstempo.com/gamedb/opening/2192","black",423,"B28","15-03-2021","1987","2035",0.459,0.218,0.324,"1.e4 c5 2.Cf3 a6 3.d4 cxd4 4.Cxd4 e5"
"Sicilian Defense, O'Kelly Variation, Venice System, Barcza Line","https://old.chesstempo.com/gamedb/opening/2197","black",231,"B28","16-02-2021","2136","2214",0.329,0.255,0.416,"1.e4 c5 2.Cf3 a6 3.c3 Cf6"
"Sicilian Defense, O'Kelly Variation, Venice System, Gambit line","https://old.chesstempo.com/gamedb/opening/2198","black",118,"B28","22-01-2021","2203","2229",0.288,0.271,0.441,"1.e4 c5 2.Cf3 a6 3.c3 d5 4.exd5 Cf6"
"Sicilian Defense, O'Kelly Variation, Venice System, Ljubojevic Line","https://old.chesstempo.com/gamedb/opening/2199","black",52,"B28","08-01-2020","2110","2232",0.25,0.25,0.5,"1.e4 c5 2.Cf3 a6 3.c3 b5"
"Sicilian Defense, O'Kelly Variation, Venice System, Steiner Line","https://old.chesstempo.com/gamedb/opening/2200","black",454,"B28","08-02-2021","2102","2147",0.311,0.28,0.41,"1.e4 c5 2.Cf3 a6 3.c3 d6"
"Sicilian Defense, Old Sicilian, General","https://old.chesstempo.com/gamedb/opening/2203","black",18285,"B30","26-03-2021","2154","2163",0.368,0.269,0.364,"1.e4 c5 2.Cf3 Cc6"
"Sicilian Defense, Old Sicilian, Normal","https://old.chesstempo.com/gamedb/opening/2204","black",2659,"B33","26-03-2021","2033","2069",0.366,0.217,0.418,"1.e4 c5 2.Cf3 Cc6 3.d4 cxd4 4.Cxd4 Cf6"
"Sicilian Defense, Paulsen Variation","https://old.chesstempo.com/gamedb/opening/2206","black",7736,"B46","24-03-2021","2259","2308",0.289,0.328,0.383,"1.e4 c5 2.Cf3 e6 3.d4 cxd4 4.Cxd4 Cc6 5.Cc3 a6"
